STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QPCP,Measurement Flag,Quality Flag,Units
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731118 08:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731118 09:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731118 09:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731118 09:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731118 10:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731118 11:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731118 12:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731118 14:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731118 15:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731118 22:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731121 02:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731121 03:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731121 05:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731124 09:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731124 14:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731124 16:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731126 02:45,0.10, , ,HT
