STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840218 15:00,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840218 15:30,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840222 05:15,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840222 07:00,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840222 08:45,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840222 09:00,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840222 09:15,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840222 09:30,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840222 09:45,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840225 04:15,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840301 00:15,-9999, , , ,0.00,g, ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 03:45,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 06:15,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 06:30,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 06:45,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 07:00,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 07:15,-9999, , , ,0.04, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 07:30,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 07:45,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 08:00,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 08:45,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 10:30,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840311 12:15,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 07:15,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 07:30,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 07:45,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 08:15,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 09:00,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 09:30,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 10:00,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 10:15,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 10:30,-9999, , , ,0.08, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 10:45,-9999, , , ,0.08, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 11:00,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 11:30,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 12:00,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 12:30,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 12:45,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 13:00,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 13:15,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 13:30,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 14:45,-9999, , , ,0.01, , ,HI
