STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990407 19:45,0.72, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990408 00:15,0.73, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990408 02:00,0.74, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990408 04:15,0.75, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990408 08:30,0.76, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990409 05:30,0.77, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990409 09:15,0.78, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990409 11:30,0.79, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990409 13:30,0.80, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990409 15:30,0.81, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990410 10:15,0.82, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990420 09:30,0.83, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990420 10:00,0.84, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990420 10:15,0.85, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990420 10:45,0.86, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990420 11:00,0.87, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990420 11:30,0.88, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990420 11:45,0.89, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990420 12:15,0.90, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990420 12:30,0.91, , ,HT
